frame	xtl	ytl	xbr	ybr	class
2018_02-13_1418_left/000054	1954	875	2025	970	2.4
2018_02-13_1418_left/000054	2043	875	2109	965	4.1
2018_02-13_1418_left/000055	1961	871	2038	972	2.4
2018_02-13_1418_left/000055	2045	869	2121	972	4.1
2018_02-13_1418_left/000056	1980	874	2053	971	2.4
2018_02-13_1418_left/000056	2053	873	2127	971	4.1
2018_02-13_1418_left/000057	1985	872	2060	973	2.4
2018_02-13_1418_left/000058	1994	871	2070	974	2.4
2018_02-13_1418_left/000059	2008	868	2088	975	2.4
2018_02-13_1418_left/000060	2024	866	2102	969	2.4
2018_02-13_1418_left/000061	2028	861	2103	960	2.4
2018_02-13_1418_left/000065	2116	853	2194	957	2.4
2018_02-13_1418_left/000067	2143	849	2218	953	2.4
2018_02-13_1418_left/000068	2148	849	2218	949	2.4
2018_02-13_1418_left/000068	2243	847	2326	955	4.1
2018_02-13_1418_left/000069	2164	840	2239	942	2.4
2018_02-13_1418_left/000069	2252	844	2336	952	4.1
2018_02-13_1418_left/000070	2169	847	2243	946	2.4
2018_02-13_1418_left/000070	2273	846	2353	953	4.1
2018_02-13_1418_left/000071	2189	844	2264	944	2.4
2018_02-13_1418_left/000071	2285	840	2368	947	4.1
2018_02-13_1418_left/000072	2214	839	2291	942	2.4
2018_02-13_1418_left/000073	2213	837	2295	944	2.4
2018_02-13_1418_left/000074	2262	841	2348	949	2.4
2018_02-13_1418_left/000075	2263	837	2360	963	2.4
2018_02-13_1418_left/000076	2290	843	2377	960	2.4
2018_02-13_1418_left/000077	2313	854	2386	952	2.4
2018_02-13_1418_left/000078	2320	848	2407	960	2.4
2018_02-13_1418_left/000079	2329	847	2422	966	2.4
2018_02-13_1418_left/000080	2346	858	2434	973	2.4
2018_02-13_1418_left/000081	2361	855	2442	968	2.4
2018_02-13_1418_left/000344	2303	791	2348	856	5.19
2018_02-13_1418_left/000345	2288	792	2333	856	5.19
2018_02-13_1418_left/000346	2269	791	2317	854	5.19
2018_02-13_1418_left/000357	2084	789	2126	845	5.19
2018_02-13_1418_left/000359	2042	793	2083	852	5.19
2018_02-13_1418_left/000367	1900	800	1942	858	5.19
2018_02-13_1418_left/000372	2151	779	2190	834	5.20
2018_02-13_1418_left/000385	1869	748	1907	804	5.20
2018_02-13_1418_left/000392	2170	898	2206	954	5.19
2018_02-13_1418_left/000410	1819	903	1856	960	5.19
2018_02-13_1418_left/000418	1719	902	1752	952	5.19
2018_02-13_1418_left/000427	1622	904	1657	955	2.1
2018_02-13_1418_left/000428	1609	904	1644	956	2.1
2018_02-13_1418_left/000429	1603	895	1642	950	5.19
2018_02-13_1418_left/000430	1595	899	1632	952	2.1
2018_02-13_1418_left/000432	1576	899	1613	951	2.1
2018_02-13_1418_left/000433	1567	900	1603	952	2.1
2018_02-13_1418_left/000434	1563	896	1600	950	2.1
2018_02-13_1418_left/000435	1383	648	1425	700	4.1
2018_02-13_1418_left/000435	1562	893	1600	947	5.19
2018_02-13_1418_left/000436	1380	647	1421	700	4.1
2018_02-13_1418_left/000436	1559	892	1597	946	5.19
2018_02-13_1418_left/000437	1550	890	1591	948	5.19
2018_02-13_1418_left/000439	1549	882	1588	938	5.19
2018_02-13_1418_left/000440	1551	874	1590	931	4.2
2018_02-13_1418_left/000441	1549	882	1588	939	3.27
2018_02-13_1418_left/000442	1551	875	1590	930	4.2
2018_02-13_1418_left/000443	1544	882	1584	940	5.19
2018_02-13_1418_left/000444	1540	891	1581	949	2.1
2018_02-13_1418_left/000445	1541	887	1582	945	5.19
2018_02-13_1418_left/000446	1537	890	1578	948	2.1
2018_02-13_1418_left/000447	1344	632	1397	689	5.19
2018_02-13_1418_left/000447	1539	890	1579	947	2.1
2018_02-13_1418_left/000448	1537	890	1577	948	5.19
2018_02-13_1418_left/000449	1534	888	1574	947	5.19
2018_02-13_1418_left/000450	1532	889	1573	949	5.19
2018_02-13_1418_left/000451	1536	890	1576	949	5.19
2018_02-13_1418_left/000452	1533	895	1573	955	2.1
2018_02-13_1418_left/000453	1533	895	1573	953	2.1
2018_02-13_1418_left/000455	1531	900	1568	953	2.1
2018_02-13_1418_left/000457	1524	905	1561	957	2.1
2018_02-13_1418_left/000458	1521	896	1559	952	2.1
2018_02-13_1418_left/000459	1520	901	1558	954	2.1
2018_02-13_1418_left/000460	1520	895	1559	951	2.1
2018_02-13_1418_left/000461	1516	896	1556	954	2.1
2018_02-13_1418_left/000462	1515	897	1555	954	2.1
2018_02-13_1418_left/000463	1515	900	1554	957	2.1
2018_02-13_1418_left/000464	1519	900	1557	954	2.1
2018_02-13_1418_left/000465	1519	894	1557	949	2.1
2018_02-13_1418_left/000474	1560	889	1594	939	2.1
2018_02-13_1418_left/000475	1087	606	1135	673	5.20
2018_02-13_1418_left/000475	1565	891	1600	942	2.1
2018_02-13_1418_left/000477	1569	896	1605	946	2.1
2018_02-13_1418_left/000478	1572	892	1610	944	2.1
2018_02-13_1418_left/000479	1578	890	1615	942	2.1
2018_02-13_1418_left/000480	1590	891	1627	944	2.1
2018_02-13_1418_left/000482	1601	893	1635	942	5.19
2018_02-13_1418_left/000483	1606	899	1640	949	5.19
2018_02-13_1418_left/000484	1611	900	1646	951	2.1
2018_02-13_1418_left/000485	1614	898	1648	949	2.1
2018_02-13_1418_left/000486	1613	898	1647	947	2.1
2018_02-13_1418_left/000487	1622	904	1657	955	2.1
2018_02-13_1418_left/000488	1623	903	1658	952	2.1
2018_02-13_1418_left/000489	1629	897	1667	950	5.19
2018_02-13_1418_left/000491	1634	898	1669	946	5.19
2018_02-13_1418_left/000496	1655	899	1690	950	5.19
2018_02-13_1418_left/000498	1657	899	1690	947	5.19
2018_02-13_1418_left/000500	1661	899	1693	947	5.19
2018_02-13_1418_left/000501	1660	901	1695	954	5.19
2018_02-13_1418_left/000503	1661	901	1694	952	2.1
2018_02-13_1418_left/000504	1660	900	1695	953	2.1
2018_02-13_1418_left/000519	1699	895	1735	948	2.1
2018_02-13_1418_left/000520	1707	890	1743	942	5.19
2018_02-13_1418_left/000523	1710	893	1747	948	2.1
2018_02-13_1418_left/000524	1708	894	1745	949	2.1
2018_02-13_1418_left/000525	1712	897	1748	948	2.1
2018_02-13_1418_left/000526	1715	899	1752	955	2.1
2018_02-13_1418_left/000527	1715	898	1751	951	2.1
2018_02-13_1418_left/000528	1718	903	1753	956	2.1
2018_02-13_1418_left/000530	1720	897	1758	954	3.1
2018_02-13_1418_left/000531	697	358	775	465	4.1
2018_02-13_1418_left/000532	1726	893	1765	952	2.1
2018_02-13_1418_left/000534	1725	894	1762	950	2.1
2018_02-13_1418_left/000537	1730	892	1766	948	2.1
2018_02-13_1418_left/000539	621	260	698	377	4.1
2018_02-13_1418_left/000540	616	238	698	359	4.1
2018_02-13_1418_left/000547	536	120	619	233	4.1
2018_02-13_1418_left/000552	1740	888	1778	947	4.1
2018_02-13_1418_left/000553	1738	888	1779	949	2.1
2018_02-13_1418_left/000554	1738	889	1778	950	2.1
2018_02-13_1418_left/000555	1736	890	1777	952	2.1
2018_02-13_1418_left/000557	1733	890	1774	952	4.1
2018_02-13_1418_left/000559	1737	890	1776	949	3.1
2018_02-13_1418_left/000560	1730	891	1769	949	3.1
2018_02-13_1418_left/000561	1734	891	1773	949	3.1
2018_02-13_1418_left/000562	1732	895	1772	954	2.1
2018_02-13_1418_left/000563	1734	890	1775	951	2.1
2018_02-13_1418_left/000564	1734	891	1773	951	2.1
2018_02-13_1418_left/000566	1733	895	1771	950	5.19
2018_02-13_1418_left/000568	1729	894	1765	947	4.1
2018_02-13_1418_left/000569	1738	892	1774	946	2.1
2018_02-13_1418_left/000570	1736	890	1769	940	3.27
2018_02-13_1418_left/000571	1734	894	1767	944	3.1
2018_02-13_1418_left/000572	1737	890	1769	939	3.1
2018_02-13_1418_left/000582	1736	878	1768	925	3.1
2018_02-13_1418_left/000584	1725	890	1758	939	2.1
2018_02-13_1418_left/000589	1725	892	1758	941	3.1
2018_02-13_1418_left/000590	1726	892	1759	941	3.1
2018_02-13_1418_left/000591	1725	892	1759	943	3.1
2018_02-13_1418_left/000598	1717	894	1752	947	2.1
2018_02-13_1418_left/000599	1716	893	1752	945	2.1
2018_02-13_1418_left/000600	1712	893	1748	946	2.1
2018_02-13_1418_left/000601	1712	892	1749	947	2.1
2018_02-13_1418_left/000602	1710	894	1748	950	3.24
2018_02-13_1418_left/000603	1708	892	1745	946	2.1
2018_02-13_1418_left/000604	1707	886	1747	943	2.1
2018_02-13_1418_left/000605	1706	892	1743	947	3.24
2018_02-13_1418_left/000606	1706	886	1744	940	2.1
2018_02-13_1418_left/000607	1699	879	1737	932	3.1
2018_02-13_1418_left/000608	1701	879	1737	931	2.1
2018_02-13_1418_left/000609	1701	878	1739	932	2.1
2018_02-13_1418_left/000610	1694	880	1732	934	3.1
2018_02-13_1418_left/000611	1695	875	1730	925	3.1
2018_02-13_1418_left/000612	1699	883	1735	934	2.1
2018_02-13_1418_left/000613	1697	883	1731	931	2.1
2018_02-13_1418_left/000614	1694	879	1731	931	2.1
2018_02-13_1418_left/000615	1695	879	1731	930	2.1
2018_02-13_1418_left/000620	1693	878	1728	926	2.1
2018_02-13_1418_left/000623	1690	877	1727	928	2.1
2018_02-13_1418_left/000624	1692	880	1729	931	2.1
2018_02-13_1418_left/000624	1698	932	1734	985	5.19
2018_02-13_1418_left/000625	1692	879	1729	932	2.1
2018_02-13_1418_left/000626	1691	881	1729	934	2.1
2018_02-13_1418_left/000627	1691	877	1727	929	2.1
2018_02-13_1418_left/000637	1690	864	1731	923	4.1
2018_02-13_1418_left/000639	1688	871	1730	932	2.1
2018_02-13_1418_left/000640	1686	864	1728	925	2.1
2018_02-13_1418_left/000641	1688	857	1730	918	4.1
2018_02-13_1418_left/000642	1685	865	1726	924	2.1
2018_02-13_1418_left/000644	1682	863	1725	922	3.1
2018_02-13_1418_left/000646	1682	861	1723	918	3.1
2018_02-13_1418_left/000647	1684	866	1721	919	3.1
2018_02-13_1418_left/000650	1684	860	1723	914	3.1
2018_02-13_1418_left/000651	1682	856	1722	914	5.19
2018_02-13_1418_left/000652	1681	854	1722	913	2.1
2018_02-13_1418_left/000653	1682	854	1722	912	3.1
2018_02-13_1418_left/000657	1670	884	1706	939	4.2
2018_02-13_1418_left/000658	1669	884	1705	939	4.2
2018_02-13_1418_left/000659	1668	880	1705	937	2.4
2018_02-13_1418_left/000661	1667	881	1703	936	2.4
2018_02-13_1418_left/000662	1667	883	1702	936	4.2
2018_02-13_1418_left/000663	1667	875	1705	933	2.4
2018_02-13_1418_left/000665	1665	879	1704	938	2.4
2018_02-13_1418_left/000673	1665	866	1705	923	3.24
2018_02-13_1418_left/000677	1665	863	1704	921	3.24
2018_02-13_1418_left/000681	1666	876	1704	932	3.27
2018_02-13_1418_left/000683	1681	881	1725	941	2.4
2018_02-13_1418_left/000684	1684	871	1729	934	2.1
2018_02-13_1418_left/000685	1684	868	1731	936	2.1
2018_02-13_1418_left/000686	1690	872	1734	936	2.1
2018_02-13_1418_left/000688	1695	874	1738	937	2.1
2018_02-13_1418_left/000689	1697	870	1742	933	2.1
2018_02-13_1418_left/000690	1702	872	1747	934	3.24
2018_02-13_1418_left/000691	1703	863	1750	929	2.1
2018_02-13_1418_left/000693	1712	870	1752	927	3.24
2018_02-13_1418_left/000694	1709	864	1753	927	3.24
2018_02-13_1418_left/000696	1717	872	1761	935	2.4
2018_02-13_1418_left/000700	1737	880	1780	943	3.24
2018_02-13_1418_left/000704	1761	950	1799	1003	5.19
2018_02-13_1418_left/000708	689	214	773	330	4.1
2018_02-13_1418_left/000710	1788	847	1829	907	2.4
2018_02-13_1418_left/000712	1260	58	1357	179	5.20
2018_02-13_1418_left/000730	1826	868	1862	923	2.1
2018_02-13_1418_left/000735	1842	845	1884	909	5.19
2018_02-13_1418_left/000737	1848	858	1890	922	2.4
2018_02-13_1418_left/000738	1850	859	1891	921	2.4
2018_02-13_1418_left/000741	1854	860	1897	925	2.4
2018_02-13_1418_left/000744	1865	829	1918	906	2.1
2018_02-13_1418_left/000745	1869	835	1918	909	3.24
2018_02-13_1418_left/000747	1870	917	1920	989	5.19
2018_02-13_1418_left/000748	1872	919	1922	989	5.19
2018_02-13_1418_left/000749	1870	920	1932	989	5.19
2018_02-13_1418_left/000750	1874	826	1925	905	3.24
2018_02-13_1418_left/000752	1873	825	1929	906	3.24
2018_02-13_1418_left/000853	1556	926	1586	973	5.19
2018_02-13_1418_left/000874	1690	874	1728	938	5.19
2018_02-13_1418_left/000936	1494	867	1541	931	3.1
2018_02-13_1418_left/000937	1497	861	1546	927	5.19
2018_02-13_1418_left/000967	1280	547	1330	620	3.1
2018_02-13_1418_left/000968	1281	544	1330	616	3.1
2018_02-13_1418_left/000972	1282	529	1335	606	3.1
2018_02-13_1418_left/000984	1295	422	1361	506	3.1
2018_02-13_1418_left/000985	1296	419	1361	504	3.1
2018_02-13_1418_left/000986	1296	412	1361	498	3.1
2018_02-13_1418_left/000987	1299	403	1365	489	3.1
2018_02-13_1418_left/000988	1298	388	1366	477	3.1
2018_02-13_1418_left/000989	1301	374	1371	469	3.1
2018_02-13_1418_left/000990	1300	364	1376	458	3.1
2018_02-13_1418_left/000991	1304	358	1379	456	3.1
2018_02-13_1418_left/000992	1303	347	1378	442	3.1
2018_02-13_1418_left/001000	1312	247	1401	368	3.1
2018_02-13_1418_left/001001	1319	245	1401	357	3.1
2018_02-13_1418_left/001002	1317	220	1401	336	3.1
2018_02-13_1418_left/001003	1318	203	1403	323	3.1
2018_02-13_1418_left/001004	1324	179	1415	300	3.1
2018_02-13_1418_left/001005	1330	164	1417	284	3.1
2018_02-13_1418_left/001009	1341	82	1434	212	3.1
2018_02-13_1418_left/001010	1341	69	1436	199	3.1
2018_02-13_1418_left/001011	1341	46	1442	182	3.1
2018_02-13_1418_left/001012	1347	24	1450	164	3.1
2018_02-13_1418_left/001013	1345	-3	1455	135	3.1
2018_02-13_1418_left/001014	1351	0	1467	119	3.1
2018_02-13_1418_left/001031	1700	921	1732	980	5.19
2018_02-13_1418_left/001090	2212	834	2273	925	5.19
2018_02-13_1418_left/001128	1625	704	1690	794	3.24
2018_02-13_1418_left/001132	1635	662	1701	757	2.1
2018_02-13_1418_left/001140	1687	631	1775	759	3.1
2018_02-13_1418_left/001152	1742	607	1846	742	3.24
2018_02-13_1418_left/001156	1766	580	1882	739	3.24
2018_02-13_1418_left/001157	1776	582	1892	736	3.24
2018_02-13_1418_left/001158	1770	567	1898	734	3.24
2018_02-13_1418_left/001159	1787	568	1912	722	3.24
2018_02-13_1418_left/001160	1792	571	1917	724	3.24
2018_02-13_1418_left/001167	1855	503	1982	673	3.24
2018_02-13_1418_left/001171	1893	472	2039	649	3.24
2018_02-13_1418_left/001172	1903	463	2048	638	3.24
2018_02-13_1418_left/001173	1923	451	2072	634	3.24
2018_02-13_1418_left/001176	1956	430	2105	610	3.24
2018_02-13_1418_left/001178	1977	409	2128	590	3.24
2018_02-13_1418_left/001180	1995	370	2206	625	2.4
2018_02-13_1418_left/001184	2047	308	2253	574	3.24
2018_02-13_1418_left/001191	2166	235	2404	494	3.24
2018_02-13_1418_left/001193	2219	198	2445	481	3.24
2018_02-13_1418_left/001234	1323	907	1351	953	4.1
2018_02-13_1418_left/001235	1323	910	1350	954	4.1
2018_02-13_1418_left/001238	1321	903	1351	948	4.1
2018_02-13_1418_left/001240	1320	903	1350	950	4.1
2018_02-13_1418_left/001242	1318	907	1347	952	4.1
2018_02-13_1418_left/001244	1319	906	1347	952	4.1
2018_02-13_1418_left/001246	1318	908	1346	953	4.1
2018_02-13_1418_left/001247	1318	908	1347	954	4.1
2018_02-13_1418_left/001248	1321	911	1349	955	4.1
2018_02-13_1418_left/001249	1319	913	1349	958	4.1
2018_02-13_1418_left/001256	1315	908	1344	952	4.1
2018_02-13_1418_left/001257	1316	908	1345	952	4.1
2018_02-13_1418_left/001258	1315	908	1344	954	4.1
2018_02-13_1418_left/001259	1316	910	1345	955	4.1
2018_02-13_1418_left/001260	1315	911	1345	956	4.1
2018_02-13_1418_left/001263	1315	909	1345	954	4.1
2018_02-13_1418_left/001267	1314	912	1345	958	4.1
2018_02-13_1418_left/001268	1316	913	1348	960	4.1
2018_02-13_1418_left/001269	1314	909	1347	956	4.1
2018_02-13_1418_left/001270	1314	908	1347	955	4.1
2018_02-13_1418_left/001271	1313	910	1344	954	4.1
2018_02-13_1418_left/001273	1313	908	1345	954	4.1
2018_02-13_1418_left/001349	2346	950	2393	1017	5.20
2018_02-13_1418_left/001353	2283	933	2331	996	4.1
2018_02-13_1418_left/001368	1909	852	1964	926	5.20
2018_02-13_1418_left/001369	2153	517	2214	612	3.1
2018_02-13_1418_left/001375	1727	828	1777	900	5.20
2018_02-13_1418_left/001398	1120	854	1169	924	5.20
2018_02-13_1418_left/001404	900	807	950	881	3.1
2018_02-13_1418_left/001423	642	717	705	806	2.4
2018_02-13_1418_left/001424	590	810	639	885	5.20
2018_02-13_1418_left/001426	588	710	646	797	2.4
2018_02-13_1418_left/001426	483	793	531	868	3.24
2018_02-13_1418_left/001435	379	765	429	843	5.19
2018_02-13_1418_left/001440	138	714	192	799	2.1
2018_02-13_1418_left/001442	92	726	149	810	3.24
2018_02-13_1418_left/001461	196	160	310	353	3.1
2018_02-13_1418_left/001668	2227	1285	2354	1477	4.2
2018_02-13_1418_left/001688	1943	814	1986	903	5.20
2018_02-13_1418_left/001731	1149	864	1180	912	3.27
2018_02-13_1418_left/001733	1145	871	1176	919	3.27
2018_02-13_1418_left/001734	1141	872	1172	919	4.2
2018_02-13_1418_left/001738	1128	862	1159	909	3.27
2018_02-13_1418_left/001741	1125	868	1155	915	4.2
2018_02-13_1418_left/001775	1130	859	1162	906	4.2
2018_02-13_1418_left/001787	1324	831	1355	879	4.2
2018_02-13_1418_left/001793	5	725	60	813	5.19
2018_02-13_1418_left/001797	1568	827	1598	873	4.2
2018_02-13_1418_left/001798	1597	827	1627	875	4.2
2018_02-13_1418_left/001801	1694	827	1724	873	4.2
2018_02-13_1418_left/001804	1787	821	1816	866	3.27
2018_02-13_1418_left/001806	1852	819	1881	865	4.2
2018_02-13_1418_left/001807	1884	822	1913	868	3.27
2018_02-13_1418_left/001809	1949	822	1978	868	4.2
2018_02-13_1418_left/001812	2060	811	2092	861	4.2
2018_02-13_1418_left/001813	2093	821	2125	870	4.2
2018_02-13_1418_left/001822	33	759	92	845	3.24
2018_02-13_1418_left/001823	71	756	133	837	3.24
2018_02-13_1418_left/001828	249	707	311	790	3.1
2018_02-13_1418_left/001830	316	699	378	784	3.24
2018_02-13_1418_left/001830	332	769	379	857	3.24
2018_02-13_1418_left/001831	358	709	418	791	3.1
2018_02-13_1418_left/001832	387	705	448	792	3.1
2018_02-13_1418_left/001833	425	707	486	795	3.1
2018_02-13_1418_left/001834	455	705	516	792	3.1
2018_02-13_1418_left/001837	563	773	615	851	3.24
2018_02-13_1418_left/001838	591	708	651	796	3.1
2018_02-13_1418_left/001838	602	765	646	851	3.24
2018_02-13_1418_left/001839	626	716	686	802	3.1
2018_02-13_1418_left/001841	689	703	750	791	3.24
2018_02-13_1418_left/001844	778	705	838	794	3.1
2018_02-13_1418_left/001844	790	768	836	853	3.24
2018_02-13_1418_left/001845	814	715	872	800	3.1
2018_02-13_1418_left/001846	838	708	897	791	3.1
2018_02-13_1418_left/001847	871	699	930	785	3.24
2018_02-13_1418_left/001848	899	697	958	784	3.24
2018_02-13_1418_left/001850	955	702	1017	787	3.1
2018_02-13_1418_left/001852	1012	696	1072	777	3.24
2018_02-13_1418_left/001852	1020	760	1071	848	3.24
2018_02-13_1418_left/001854	1077	765	1123	850	3.24
2018_02-13_1418_left/001858	1163	690	1226	777	3.24
2018_02-13_1418_left/001860	1213	561	1295	680	2.1
2018_02-13_1418_left/001861	1234	691	1297	773	3.24
2018_02-13_1418_left/001862	1254	562	1332	675	2.1
2018_02-13_1418_left/001863	1293	765	1353	853	3.24
2018_02-13_1418_left/001864	1300	563	1385	684	2.1
2018_02-13_1418_left/001865	1320	563	1408	682	2.1
2018_02-13_1418_left/001866	1342	564	1427	683	2.1
2018_02-13_1418_left/001866	1354	757	1416	848	3.24
2018_02-13_1418_left/001867	1372	566	1452	684	2.1
2018_02-13_1418_left/001868	1404	567	1483	681	2.1
2018_02-13_1418_left/001869	1413	562	1494	678	2.1
2018_02-13_1418_left/001870	1436	561	1516	678	2.1
2018_02-13_1418_left/001871	1451	560	1531	676	2.1
2018_02-13_1418_left/001871	1461	673	1526	759	3.24
2018_02-13_1418_left/001871	1472	748	1527	837	3.24
2018_02-13_1418_left/001872	1477	559	1559	671	2.1
2018_02-13_1418_left/001873	1489	553	1575	672	2.1
2018_02-13_1418_left/001874	1506	553	1589	666	2.1
2018_02-13_1418_left/001874	1522	663	1589	752	3.24
2018_02-13_1418_left/001875	1530	552	1611	669	2.1
2018_02-13_1418_left/001875	1546	663	1613	749	3.24
2018_02-13_1418_left/001875	1552	745	1617	837	3.24
2018_02-13_1418_left/001876	1550	552	1631	673	2.1
2018_02-13_1418_left/001876	1565	678	1632	763	3.1
2018_02-13_1418_left/001876	1572	749	1631	829	3.24
2018_02-13_1418_left/001877	1572	546	1655	668	2.1
2018_02-13_1418_left/001877	1579	680	1647	767	3.1
2018_02-13_1418_left/001877	1589	747	1651	832	3.24
2018_02-13_1418_left/001878	1596	535	1684	664	2.1
2018_02-13_1418_left/001878	1601	742	1667	836	3.24
2018_02-13_1418_left/001879	1607	522	1695	650	2.1
2018_02-13_1418_left/001880	1622	522	1711	649	2.1
2018_02-13_1418_left/001881	1632	516	1723	645	2.1
2018_02-13_1418_left/001882	1639	520	1728	649	2.1
2018_02-13_1418_left/001883	1667	510	1757	636	2.1
2018_02-13_1418_left/001884	1682	506	1769	631	2.1
2018_02-13_1418_left/001885	1690	502	1782	630	2.1
2018_02-13_1418_left/001886	1700	493	1795	621	2.1
2018_02-13_1418_left/001887	1710	486	1805	618	2.1
2018_02-13_1418_left/001888	1720	475	1819	608	2.1
2018_02-13_1418_left/001889	1736	472	1832	605	2.1
2018_02-13_1418_left/001890	1750	475	1840	601	2.1
2018_02-13_1418_left/001891	1763	471	1857	600	2.1
2018_02-13_1418_left/001892	1774	465	1866	593	2.1
2018_02-13_1418_left/001893	1777	463	1875	597	2.1
2018_02-13_1418_left/001894	1790	458	1886	591	2.1
2018_02-13_1418_left/001895	1802	466	1898	601	2.1
2018_02-13_1418_left/001896	1816	469	1911	600	2.1
2018_02-13_1418_left/001897	1841	472	1934	600	2.1
2018_02-13_1418_left/001898	1844	476	1941	611	2.1
2018_02-13_1418_left/001899	1857	473	1953	608	2.1
2018_02-13_1418_left/001900	1867	465	1965	603	2.1
2018_02-13_1418_left/001901	1877	478	1974	613	2.1
2018_02-13_1418_left/001902	1897	476	1993	611	2.1
2018_02-13_1418_left/001903	1921	684	1993	787	3.24
2018_02-13_1418_left/001904	1921	469	2019	607	2.1
2018_02-13_1418_left/001904	1932	684	2004	786	3.24
2018_02-13_1418_left/001906	1949	478	2044	615	2.1
2018_02-13_1418_left/001907	1961	481	2055	617	3.1
2018_02-13_1418_left/001907	1965	680	2041	786	3.24
2018_02-13_1418_left/001910	2003	688	2078	794	3.24
2018_02-13_1418_left/001912	2020	681	2099	791	3.24
2018_02-13_1418_left/001913	2034	677	2115	794	3.24
2018_02-13_1418_left/001914	2039	675	2122	792	3.24
2018_02-13_1418_left/001915	2036	381	2155	548	2.1
2018_02-13_1418_left/001916	2043	378	2165	550	2.1
2018_02-13_1418_left/001917	2051	376	2174	545	2.1
2018_02-13_1418_left/001918	2062	372	2186	542	2.1
2018_02-13_1418_left/001919	2067	361	2194	537	2.1
2018_02-13_1418_left/001919	2080	652	2181	796	3.24
2018_02-13_1418_left/001920	2079	359	2206	532	2.1
2018_02-13_1418_left/001921	2090	350	2218	525	2.1
2018_02-13_1418_left/001921	2102	650	2198	774	3.24
2018_02-13_1418_left/001922	2105	345	2230	518	2.1
2018_02-13_1418_left/001922	2113	650	2210	766	3.24
2018_02-13_1418_left/001923	2111	338	2243	516	2.1
2018_02-13_1418_left/001923	2123	504	2227	637	3.24
2018_02-13_1418_left/001923	2123	646	2223	763	3.24
2018_02-13_1418_left/001924	2128	332	2254	504	2.1
2018_02-13_1418_left/001924	2128	641	2241	762	3.24
2018_02-13_1418_left/001925	2134	321	2262	496	2.1
2018_02-13_1418_left/001926	2145	315	2276	491	2.1
2018_02-13_1418_left/001927	2159	303	2296	485	2.1
2018_02-13_1418_left/001927	2174	477	2282	612	3.24
2018_02-13_1418_left/001928	2168	287	2311	474	2.1
2018_02-13_1418_left/001928	2185	468	2295	606	3.24
2018_02-13_1418_left/001929	2197	283	2338	465	2.1
2018_02-13_1418_left/001929	2210	469	2321	603	3.24
2018_02-13_1418_left/001930	2201	275	2346	457	2.1
